LON,LAT,F
-118.6673,34.1775,3.0
-118.6672,34.1824,3.0
-118.6665,34.1839,1.0
-118.6661,34.1824,2.0
-118.6652,34.1774,2.0
-118.6644,34.1774,2.0
-118.6644,34.1817,1.0
-118.6642,34.1858,1.0
-118.6634,34.1801,1.0
-118.663,34.1774,1.0
-118.6629,34.2002,4.0
-118.6625,34.1776,1.0
-118.6623,34.1859,1.0
-118.6612,34.1815,3.0
-118.6605,34.1776,1.0
-118.6605,34.1864,3.0
-118.6604,34.1894,1.0
-118.6602,34.2068,1.0
-118.6602,34.2069,1.0
-118.6601,34.1812,1.0
-118.6601,34.1987,1.0
-118.6601,34.2009,4.0
-118.66,34.1812,2.0
-118.6599,34.1775,2.0
-118.6594,34.1853,2.0
-118.659,34.1894,1.0
-118.659,34.1964,1.0
-118.659,34.1967,1.0
-118.6589,34.184,1.0
-118.6588,34.1783,1.0
-118.6588,34.1988,1.0
-118.6587,34.1851,1.0
-118.6585,34.1816,4.0
-118.6585,34.1861,3.0
-118.6584,34.2106,1.0
-118.658,34.1731,2.0
-118.658,34.2005,1.0
-118.6579,34.1758,1.0
-118.6579,34.1777,1.0
-118.6578,34.185,1.0
-118.6575,34.1883,2.0
-118.6572,34.1899,1.0
-118.6571,34.2085,1.0
-118.6569,34.2195,1.0
-118.6568,34.195,1.0
-118.6565,34.1707,1.0
-118.6565,34.1782,3.0
-118.6564,34.2019,3.0
-118.6564,34.2052,2.0
-118.6563,34.1905,1.0
-118.6562,34.1853,1.0
-118.6562,34.1894,1.0
-118.6561,34.1732,2.0
-118.6561,34.1782,1.0
-118.6561,34.1817,1.0
-118.656,34.1773,1.0
-118.6559,34.1838,2.0
-118.6559,34.2045,1.0
-118.6559,34.2096,3.0
-118.6558,34.1699,4.0
-118.6558,34.1779,2.0
-118.6557,34.1722,2.0
-118.6555,34.1856,3.0
-118.6555,34.1924,1.0
-118.6554,34.1882,2.0
-118.6554,34.2068,1.0
-118.6553,34.2067,1.0
-118.6551,34.178,1.0
-118.6551,34.2081,1.0
-118.6548,34.1803,4.0
-118.6548,34.2094,1.0
-118.6547,34.1812,1.0
-118.6545,34.1796,1.0
-118.6545,34.198,1.0
-118.6545,34.2107,1.0
-118.6543,34.1774,2.0
-118.6543,34.1847,2.0
-118.6542,34.188,2.0
-118.6541,34.2023,1.0
-118.654,34.2197,2.0
-118.6539,34.2079,3.0
-118.6537,34.1937,3.0
-118.6537,34.1946,3.0
-118.6536,34.1731,1.0
-118.6536,34.1883,11.0
-118.6536,34.1946,2.0
-118.6536,34.2011,1.0
-118.6536,34.2093,1.0
-118.6535,34.1661,2.0
-118.6535,34.1739,1.0
-118.6535,34.1803,1.0
-118.6535,34.181,1.0
-118.6534,34.1796,1.0
-118.6534,34.1954,1.0
-118.6533,34.1858,2.0
-118.6533,34.2255,1.0
-118.6532,34.2034,1.0
-118.6531,34.1849,1.0
-118.653,34.1676,2.0
-118.6528,34.1825,1.0
-118.6528,34.1906,1.0
-118.6526,34.1672,1.0
-118.6526,34.1683,1.0
-118.6525,34.1709,1.0
-118.6523,34.1775,2.0
-118.6523,34.1778,3.0
-118.6523,34.1804,4.0
-118.6523,34.187,1.0
-118.6523,34.1944,4.0
-118.6523,34.1997,2.0
-118.6523,34.2249,2.0
-118.6522,34.186,1.0
-118.6522,34.1879,3.0
-118.6521,34.1742,1.0
-118.652,34.1852,3.0
-118.652,34.1934,2.0
-118.6519,34.1943,1.0
-118.6518,34.1964,3.0
-118.6517,34.1797,1.0
-118.6517,34.1824,1.0
-118.6517,34.1843,4.0
-118.6517,34.2053,2.0
-118.6516,34.1683,1.0
-118.6515,34.1973,4.0
-118.6514,34.2044,1.0
-118.6511,34.2145,1.0
-118.651,34.1665,1.0
-118.651,34.1768,1.0
-118.651,34.1906,1.0
-118.651,34.1999,1.0
-118.651,34.2039,2.0
-118.651,34.2107,1.0
-118.6509,34.1742,1.0
-118.6509,34.188,7.0
-118.6508,34.176,1.0
-118.6507,34.1915,1.0
-118.6506,34.1797,1.0
-118.6505,34.1873,1.0
-118.6505,34.1923,2.0
-118.6503,34.215,2.0
-118.6502,34.1855,1.0
-118.6502,34.1961,1.0
-118.6501,34.194,2.0
-118.65,34.1828,1.0
-118.65,34.1975,1.0
-118.65,34.2065,1.0
-118.65,34.2088,2.0
-118.6499,34.1882,5.0
-118.6499,34.1948,1.0
-118.6499,34.1949,2.0
-118.6498,34.1683,1.0
-118.6498,34.1822,3.0
-118.6496,34.1814,1.0
-118.6496,34.2134,2.0
-118.6496,34.2269,1.0
-118.6495,34.1797,5.0
-118.6494,34.1662,2.0
-118.6494,34.1683,3.0
-118.6493,34.1857,1.0
-118.6493,34.1987,1.0
-118.6493,34.2095,2.0
-118.6493,34.2272,2.0
-118.6492,34.1899,1.0
-118.6491,34.1736,4.0
-118.6491,34.1908,2.0
-118.6491,34.2251,1.0
-118.649,34.1836,3.0
-118.649,34.1912,1.0
-118.649,34.2034,1.0
-118.649,34.2212,1.0
-118.6489,34.1884,1.0
-118.6489,34.1885,1.0
-118.6489,34.1912,3.0
-118.6487,34.1876,1.0
-118.6485,34.1929,2.0
-118.6484,34.1662,1.0
-118.6484,34.1868,3.0
-118.6483,34.1938,1.0
-118.6483,34.2192,1.0
-118.6483,34.2297,2.0
-118.6482,34.1946,4.0
-118.6482,34.2154,1.0
-118.6481,34.1859,1.0
-118.6481,34.2025,3.0
-118.6481,34.2053,1.0
-118.6481,34.2119,1.0
-118.648,34.1813,1.0
-118.648,34.1911,1.0
-118.6479,34.1714,2.0
-118.6479,34.1771,1.0
-118.6479,34.1839,2.0
-118.6479,34.1911,2.0
-118.6478,34.1956,1.0
-118.6478,34.2015,1.0
-118.6478,34.2097,1.0
-118.6477,34.1705,1.0
-118.6477,34.1794,1.0
-118.6476,34.1723,1.0
-118.6476,34.2018,2.0
-118.6475,34.1747,3.0
-118.6475,34.1888,1.0
-118.6475,34.2107,1.0
-118.6475,34.2113,2.0
-118.6474,34.1663,2.0
-118.6474,34.221,4.0
-118.6473,34.1973,11.0
-118.6472,34.179,3.0
-118.6472,34.182,1.0
-118.6472,34.1879,2.0
-118.6472,34.202,2.0
-118.6472,34.2298,5.0
-118.6471,34.2085,3.0
-118.6469,34.1871,1.0
-118.6468,34.181,1.0
-118.6468,34.1862,2.0
-118.6468,34.2225,1.0
-118.6467,34.1862,3.0
-118.6467,34.1918,1.0
-118.6466,34.1853,1.0
-118.6466,34.2033,1.0
-118.6466,34.221,1.0
-118.6466,34.2283,1.0
-118.6465,34.1935,2.0
-118.6464,34.1944,4.0
-118.6464,34.1987,2.0
-118.6463,34.1837,1.0
-118.6463,34.1842,2.0
-118.6463,34.1863,1.0
-118.6463,34.2051,1.0
-118.6462,34.1665,1.0
-118.6462,34.1819,1.0
-118.6462,34.1952,1.0
-118.6459,34.1702,1.0
-118.6459,34.1749,1.0
-118.6459,34.2204,3.0
-118.6458,34.213,16.0
-118.6458,34.2151,4.0
-118.6457,34.1719,1.0
-118.6457,34.1882,2.0
-118.6456,34.1732,1.0
-118.6456,34.2078,2.0
-118.6454,34.1716,1.0
-118.6453,34.1696,1.0
-118.6453,34.1975,1.0
-118.6452,34.1706,2.0
-118.6451,34.1908,1.0
-118.645,34.1648,1.0
-118.645,34.1866,2.0
-118.6448,34.169,1.0
-118.6448,34.1737,2.0
-118.6447,34.1925,3.0
-118.6446,34.1779,18.0
-118.6446,34.1866,1.0
-118.6446,34.1943,1.0
-118.6445,34.1779,1.0
-118.6445,34.1934,1.0
-118.6445,34.2072,1.0
-118.6444,34.1795,1.0
-118.6443,34.1802,1.0
-118.6442,34.1809,1.0
-118.6442,34.181,1.0
-118.6442,34.1817,2.0
-118.6442,34.1886,2.0
-118.6441,34.1961,1.0
-118.644,34.1858,1.0
-118.644,34.197,2.0
-118.6439,34.1867,2.0
-118.6439,34.2179,3.0
-118.6434,34.1801,1.0
-118.6431,34.1847,1.0
-118.643,34.1755,1.0
-118.643,34.1779,1.0
-118.643,34.1792,2.0
-118.6428,34.1866,2.0
-118.6428,34.1867,13.0
-118.6428,34.1907,1.0
-118.6428,34.1915,1.0
-118.6427,34.1882,3.0
-118.6427,34.189,2.0
-118.6426,34.1665,1.0
-118.6426,34.1684,22.0
-118.6426,34.1898,4.0
-118.6426,34.2042,1.0
-118.6425,34.1933,7.0
-118.6425,34.1935,1.0
-118.6425,34.1937,1.0
-118.6425,34.1943,3.0
-118.6424,34.167,1.0
-118.6424,34.2133,1.0
-118.6423,34.208,1.0
-118.6423,34.2099,2.0
-118.6421,34.1659,1.0
-118.6421,34.1956,1.0
-118.6421,34.1957,1.0
-118.6421,34.2023,1.0
-118.6419,34.2217,1.0
-118.6418,34.1642,1.0
-118.6418,34.1738,2.0
-118.6418,34.1762,1.0
-118.6418,34.1776,2.0
-118.6418,34.1866,3.0
-118.6418,34.2039,1.0
-118.6418,34.2198,2.0
-118.6418,34.2207,7.0
-118.6417,34.168,1.0
-118.6416,34.1653,3.0
-118.6416,34.2084,3.0
-118.6414,34.1664,1.0
-118.6414,34.1845,2.0
-118.6413,34.2012,3.0
-118.6412,34.1674,1.0
-118.6411,34.1621,1.0
-118.6411,34.1647,3.0
-118.641,34.1973,1.0
-118.6409,34.1688,1.0
-118.6409,34.2096,1.0
-118.6408,34.1719,3.0
-118.6408,34.1737,2.0
-118.6408,34.1755,1.0
-118.6408,34.1773,3.0
-118.6408,34.1792,4.0
-118.6408,34.1825,2.0
-118.6408,34.2112,1.0
-118.6407,34.215,1.0
-118.6407,34.216,1.0
-118.6406,34.2192,2.0
-118.6405,34.1898,1.0
-118.6403,34.1932,1.0
-118.6402,34.1932,6.0
-118.6402,34.1941,1.0
-118.6402,34.198,4.0
-118.64,34.1673,1.0
-118.64,34.2069,1.0
-118.6399,34.1974,2.0
-118.6398,34.1654,1.0
-118.6397,34.1849,1.0
-118.6397,34.2112,1.0
-118.6396,34.1675,1.0
-118.6396,34.2141,1.0
-118.6394,34.1666,1.0
-118.6394,34.1813,2.0
-118.6394,34.1817,1.0
-118.6393,34.2018,1.0
-118.6392,34.1856,1.0
-118.6392,34.1865,7.0
-118.6391,34.1839,2.0
-118.6391,34.1883,2.0
-118.6391,34.216,1.0
-118.639,34.1899,1.0
-118.639,34.2064,1.0
-118.6389,34.1922,1.0
-118.6389,34.194,2.0
-118.6388,34.2132,1.0
-118.6388,34.2214,3.0
-118.6387,34.2011,3.0
-118.6386,34.1737,3.0
-118.6386,34.1773,2.0
-118.6385,34.1797,1.0
-118.6385,34.2054,1.0
-118.6385,34.2104,2.0
-118.6384,34.1812,6.0
-118.6382,34.1829,3.0
-118.6381,34.1931,1.0
-118.638,34.1693,2.0
-118.638,34.1839,1.0
-118.6379,34.1672,1.0
-118.6379,34.1855,1.0
-118.6377,34.194,3.0
-118.6377,34.1948,1.0
-118.6376,34.1653,1.0
-118.6376,34.21,1.0
-118.6375,34.1673,2.0
-118.6375,34.2212,1.0
-118.6374,34.2167,1.0
-118.6371,34.1719,1.0
-118.6371,34.1933,1.0
-118.6371,34.2212,1.0
-118.637,34.206,5.0
-118.637,34.2069,1.0
-118.6369,34.1793,1.0
-118.6369,34.1855,1.0
-118.6369,34.1865,1.0
-118.6369,34.1874,3.0
-118.6369,34.1888,17.0
-118.6369,34.1971,2.0
-118.6368,34.1655,2.0
-118.6368,34.1826,3.0
-118.6368,34.1883,1.0
-118.6368,34.1891,3.0
-118.6368,34.2009,2.0
-118.6367,34.1924,1.0
-118.6366,34.181,1.0
-118.6366,34.1907,1.0
-118.6365,34.1737,6.0
-118.6365,34.2141,1.0
-118.6365,34.2149,1.0
-118.6364,34.1587,4.0
-118.6364,34.1665,6.0
-118.6364,34.1684,2.0
-118.6364,34.1701,2.0
-118.6364,34.1755,1.0
-118.6364,34.1773,1.0
-118.6364,34.1781,1.0
-118.6363,34.1981,1.0
-118.6363,34.2225,1.0
-118.6361,34.1809,1.0
-118.6358,34.2028,1.0
-118.6358,34.2102,1.0
-118.6357,34.2045,1.0
-118.6357,34.2203,1.0
-118.6355,34.1597,2.0
-118.6355,34.1898,1.0
-118.6355,34.1935,1.0
-118.6355,34.2118,2.0
-118.6355,34.2192,3.0
-118.6354,34.1611,2.0
-118.6354,34.1644,2.0
-118.6354,34.1701,6.0
-118.6353,34.1684,1.0
-118.6353,34.1983,2.0
-118.6353,34.2168,1.0
-118.6353,34.2182,1.0
-118.6352,34.1637,1.0
-118.6352,34.1831,1.0
-118.635,34.2042,2.0
-118.6349,34.1571,3.0
-118.6347,34.1966,2.0
-118.6347,34.2214,2.0
-118.6346,34.1792,1.0
-118.6346,34.1873,1.0
-118.6346,34.1937,1.0
-118.6346,34.1946,1.0
-118.6345,34.1628,1.0
-118.6345,34.1882,2.0
-118.6345,34.189,3.0
-118.6345,34.1899,4.0
-118.6345,34.1928,1.0
-118.6345,34.1946,4.0
-118.6345,34.1954,1.0
-118.6344,34.1643,2.0
-118.6344,34.1855,1.0
-118.6344,34.2111,1.0
-118.6344,34.2196,1.0
-118.6344,34.2206,1.0
-118.6343,34.1532,2.0
-118.6343,34.1719,1.0
-118.6343,34.1737,2.0
-118.6343,34.1755,1.0
-118.6343,34.177,2.0
-118.6343,34.1786,1.0
-118.6343,34.1809,2.0
-118.6343,34.2166,1.0
-118.6342,34.1665,1.0
-118.6342,34.1755,1.0
-118.6342,34.1864,2.0
-118.6342,34.2055,1.0
-118.634,34.1765,8.0
-118.6338,34.1691,1.0
-118.6338,34.2102,1.0
-118.6337,34.2119,1.0
-118.6336,34.1622,1.0
