LON,LAT,M
-118.6676,34.18,5.0
-118.6673,34.1775,5.0
-118.6665,34.1839,2.0
-118.6663,34.1845,1.0
-118.6661,34.1824,1.0
-118.6652,34.1774,3.0
-118.6644,34.1774,2.0
-118.6644,34.1817,2.0
-118.6635,34.1855,1.0
-118.6634,34.1801,1.0
-118.663,34.1774,1.0
-118.6629,34.2002,2.0
-118.6626,34.1815,3.0
-118.6623,34.1796,2.0
-118.6616,34.2017,1.0
-118.6613,34.2007,2.0
-118.6612,34.1815,2.0
-118.6611,34.1982,2.0
-118.661,34.1797,3.0
-118.6606,34.2089,1.0
-118.6605,34.1864,3.0
-118.6604,34.1776,1.0
-118.6604,34.1894,1.0
-118.6601,34.1812,3.0
-118.6601,34.1987,2.0
-118.6601,34.2009,3.0
-118.66,34.1794,1.0
-118.66,34.1812,1.0
-118.6599,34.1775,3.0
-118.6599,34.187,1.0
-118.6594,34.1853,2.0
-118.659,34.1964,1.0
-118.659,34.1968,2.0
-118.659,34.2013,1.0
-118.6589,34.184,1.0
-118.6588,34.1783,1.0
-118.6588,34.1955,2.0
-118.6588,34.2089,1.0
-118.6585,34.1816,2.0
-118.6585,34.1861,6.0
-118.6584,34.1797,2.0
-118.6579,34.1758,2.0
-118.6579,34.1778,1.0
-118.6577,34.2194,3.0
-118.6576,34.2204,1.0
-118.6575,34.1828,1.0
-118.6574,34.221,1.0
-118.6572,34.2031,1.0
-118.6572,34.2208,1.0
-118.657,34.1894,1.0
-118.6569,34.2118,3.0
-118.6568,34.195,2.0
-118.6565,34.1923,3.0
-118.6564,34.1756,1.0
-118.6564,34.2078,1.0
-118.6564,34.2083,1.0
-118.6562,34.1904,1.0
-118.6561,34.1732,2.0
-118.6561,34.1828,2.0
-118.6561,34.1855,1.0
-118.6561,34.1856,2.0
-118.6559,34.1847,2.0
-118.6559,34.2025,2.0
-118.6559,34.2096,1.0
-118.6558,34.1699,2.0
-118.6558,34.1798,3.0
-118.6558,34.1847,1.0
-118.6557,34.1722,3.0
-118.6556,34.1864,1.0
-118.6555,34.1856,4.0
-118.6555,34.1924,1.0
