LON,LAT,X
-118.6462,34.1665,1.0
-118.6442,34.1886,1.0
-118.6428,34.1867,1.0
-118.6336,34.2045,1.0
-118.6333,34.1548,3.0
-118.6301,34.1514,1.0
-118.6274,34.1883,4.0
-118.6235,34.1865,1.0
-118.6233,34.166,1.0
-118.6232,34.2469,2.0
-118.6223,34.2483,1.0
-118.6217,34.2426,1.0
-118.6215,34.1937,1.0
-118.6191,34.2724,3.0
-118.6176,34.2137,1.0
-118.6174,34.2544,1.0
-118.6168,34.1681,1.0
-118.6164,34.2725,1.0
-118.6153,34.2661,4.0
-118.6151,34.256,1.0
-118.6143,34.2578,1.0
-118.6134,34.2448,14.0
-118.6126,34.2259,1.0
-118.6125,34.2073,1.0
-118.6125,34.2572,8.0
-118.612,34.1874,1.0
-118.6117,34.2645,1.0
-118.6108,34.1592,1.0
-118.6105,34.2557,2.0
-118.6104,34.25,1.0
-118.6104,34.2656,1.0
-118.6103,34.1688,1.0
-118.6103,34.1865,2.0
-118.609,34.2433,1.0
-118.608,34.1697,1.0
-118.6078,34.2448,1.0
-118.6077,34.1847,1.0
-118.6072,34.2534,8.0
-118.607,34.2464,2.0
-118.6068,34.2447,1.0
-118.6067,34.244,2.0
-118.6065,34.2427,6.0
-118.6065,34.2447,2.0
-118.6065,34.2467,2.0
-118.6064,34.2476,1.0
-118.6063,34.2485,3.0
-118.6061,34.2391,5.0
-118.6061,34.2408,1.0
-118.6061,34.2536,1.0
-118.6061,34.2554,2.0
-118.6061,34.2645,1.0
-118.606,34.2373,2.0
-118.606,34.2489,6.0
-118.606,34.25,6.0
-118.606,34.2572,2.0
-118.6059,34.1886,1.0
-118.6059,34.1904,11.0
-118.6059,34.1923,1.0
-118.6059,34.1938,1.0
-118.6057,34.2449,3.0
-118.6057,34.2463,2.0
-118.6056,34.2373,1.0
-118.6054,34.2572,1.0
-118.6053,34.2427,1.0
-118.605,34.2354,1.0
-118.605,34.2355,3.0
-118.605,34.2554,1.0
-118.6049,34.2572,1.0
-118.6048,34.2599,1.0
-118.6046,34.2427,1.0
-118.6046,34.25,2.0
-118.6044,34.1938,2.0
-118.604,34.2373,1.0
-118.604,34.2391,3.0
-118.604,34.2409,1.0
-118.6039,34.2354,3.0
-118.6039,34.2511,1.0
